Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S3.87;3;29;3;sp17;S3.87;25.05.2022;3;3;9;25;21;29;FP
S3.128;3;54;2;sp17;S3.128;27.06.2022;3;3;10;27;26;54;FP
S3.131;3;54;2;sp17;S3.131;20.06.2022;3;3;9;24;18;54;FP
S2.228;2;29;2;sp17;S2.228;02.06.2022;2;3;10;28;30;29;FP
S1.371;1;54;2;sp17;S1.371;20.06.2022;1;3;9;25;19;54;FP
S2.262;2;54;2;sp17;S2.262;30.05.2022;2;3;14;12;101;54;FP
S3.90;3;29;2;sp17;S3.90;02.06.2022;3;3;10;28;28;29;FP
S3.125;3;54;2;sp17;S3.125;27.06.2022;3;3;10;30;34;54;FP
S1.350;1;29;1;sp17;S1.350;02.06.2022;1;3;10;29;32;29;FP
S2.247;2;54;1;sp17;S2.247;27.06.2022;2;3;10;20;35;54;FP
S1.373;1;54;1;sp17;S1.373;20.06.2022;1;3;9;23;14;54;FP
S1.378;1;54;1;sp17;S1.378;30.05.2022;1;3;14;7;87;54;FP
S3.115;3;54;1;sp17;S3.115;23.05.2022;3;3;13;5;79;54;FP
S3.107;3;29;0;sp17;S3.107;28.04.2022;3;3;13;5;79;29;FP
S3.122;3;54;0;sp17;S3.122;04.07.2022;3;3;11;33;44;54;FP
S1.367;1;54;0;sp17;S1.367;27.06.2022;1;3;10;29;32;54;FP
S1.391;1;54;0;sp17;S1.391;30.05.2022;1;3;14;9;91;54;FP
S3.109;3;54;0;sp17;S3.109;30.05.2022;3;3;14;11;98;54;FP
S3.112;3;54;0;sp17;S3.112;30.05.2022;3;3;14;8;88;54;FP
S1.372;1;54;0;sp17;S1.372;20.06.2022;1;3;9;24;17;54;FP
S2.254;2;54;0;sp17;S2.254;20.06.2022;2;3;9;23;13;54;FP
S3.106;3;29;0;sp17;S3.106;28.04.2022;3;3;13;6;83;29;FP
S1.344;1;29;0;sp17;S1.344;25.05.2022;1;3;9;23;14;29;FP
S1.369;1;54;0;sp17;S1.369;27.06.2022;1;3;10;27;25;54;FP
S3.111;3;54;0;sp17;S3.111;30.05.2022;3;3;14;9;92;54;FP
S3.121;3;54;0;sp17;S3.121;04.07.2022;3;3;11;34;46;54;FP
S3.129;3;54;0;sp17;S3.129;20.06.2022;3;3;9;26;23;54;FP
S3.123;3;54;0;sp17;S3.123;04.07.2022;3;3;11;32;41;54;FP
S2.259;2;54;0;sp17;S2.259;23.05.2022;2;3;13;3;75;54;FP
S3.136;3;54;0;sp17;S3.136;13.06.2022;3;3;8;19;1;54;FP
S2.229;2;29;0;sp17;S2.229;02.06.2022;2;3;10;29;31;29;FP
S2.252;2;54;0;sp17;S2.252;20.06.2022;2;3;9;25;20;54;FP
S3.86;3;29;0;sp17;S3.86;25.05.2022;3;3;9;24;18;29;FP
S3.130;3;54;0;sp17;S3.130;20.06.2022;3;3;9;25;21;54;FP
S1.375;1;54;0;sp17;S1.375;13.06.2022;1;3;8;21;7;54;FP
S2.267;2;54;0;sp17;S2.267;30.05.2022;2;3;14;11;99;54;FP
S3.132;3;54;0;sp17;S3.132;20.06.2022;3;3;9;23;15;54;FP
S2.268;2;54;0;sp17;S2.268;30.05.2022;2;3;14;10;94;54;FP
