Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S1.282;1;1;367;sp17;S1.282;28.04.2022;1;1;9;26;22;1;FP
S1.408;1;15;360;sp17;S1.408;12.05.2022;1;2;9;26;22;15;FP
S1.327;1;8;357;sp17;S1.327;07.04.2022;1;1;13;2;70;8;FP
S2.257;2;54;353;sp17;S2.257;13.06.2022;2;3;8;20;5;54;FP
S2.207;2;15;352;sp17;S2.207;25.05.2022;2;2;11;32;40;15;FP
S2.154;2;1;343;sp17;S2.154;31.03.2022;2;1;13;2;71;1;FP
S1.300;1;1;342;sp17;S1.300;07.04.2022;1;1;14;10;96;1;FP
S1.414;1;15;341;sp17;S1.414;19.05.2022;1;2;10;29;32;15;FP
S2.179;2;8;336;sp17;S2.179;12.05.2022;2;1;10;27;27;8;FP
S2.146;2;1;334;sp17;S2.146;05.05.2022;2;1;10;29;31;1;FP
S3.78;3;15;325;sp17;S3.78;19.05.2022;3;2;10;28;28;15;FP
S2.160;2;1;324;sp17;S2.160;07.04.2022;2;1;14;8;90;1;FP
S3.118;3;54;321;sp17;S3.118;23.05.2022;3;3;13;2;72;54;FP
S3.5;3;1;321;sp17;S3.5;28.04.2022;3;1;9;23;15;1;FP
S1.305;1;8;317;sp17;S1.305;13.04.2022;1;1;14;8;89;8;FP
S3.6;3;1;315;sp17;S3.6;28.04.2022;3;1;9;24;18;1;FP
S3.77;3;15;311;sp17;S3.77;19.05.2022;3;2;10;29;33;15;FP
S1.406;1;15;308;sp17;S1.406;12.05.2022;1;2;9;25;19;15;FP
S3.103;3;29;307;sp17;S3.103;28.04.2022;3;3;13;2;72;29;FP
S1.283;1;1;304;sp17;S1.283;05.05.2022;1;1;10;27;25;1;FP
S2.144;2;1;301;sp17;S2.144;05.05.2022;2;1;10;27;27;1;FP
S1.343;1;29;299;sp17;S1.343;19.05.2022;1;3;8;22;12;29;FP
S1.301;1;1;288;sp17;S1.301;07.04.2022;1;1;14;11;97;1;FP
S2.166;2;8;286;sp17;S2.166;28.04.2022;2;1;8;21;9;8;FP
S1.404;1;15;280;sp17;S1.404;12.05.2022;1;2;9;24;17;15;FP
S3.1;3;1;272;sp17;S3.1;21.04.2022;3;1;8;19;1;1;FP
S2.195;2;15;269;sp17;S2.195;13.04.2022;2;1;13;2;71;15;FP
S2.150;2;1;267;sp17;S2.150;12.05.2022;2;1;11;33;43;1;FP
S2.156;2;1;263;sp17;S2.156;31.03.2022;2;1;13;4;77;1;FP
S3.10;3;1;261;sp17;S3.10;05.05.2022;3;1;10;28;28;1;FP
S2.147;2;1;251;sp17;S2.147;05.05.2022;2;1;10;30;35;1;FP
S2.206;2;15;244;sp17;S2.206;25.05.2022;2;2;11;33;43;15;FP
S1.351;1;29;243;sp17;S1.351;02.06.2022;1;3;10;30;36;29;FP
S1.377;1;54;243;sp17;S1.377;13.06.2022;1;3;8;19;3;54;FP
S2.208;2;15;241;sp17;S2.208;25.05.2022;2;2;11;31;37;15;FP
S1.407;1;15;239;sp17;S1.407;25.05.2022;1;2;11;33;45;15;FP
S1.314;1;8;238;sp17;S1.314;13.04.2022;1;1;14;11;97;8;FP
S2.162;2;1;237;sp17;S2.162;07.04.2022;2;1;14;10;94;1;FP
S3.67;3;15;233;sp17;S3.67;05.05.2022;3;2;8;22;10;15;FP
S2.215;2;15;231;sp17;S2.215;21.04.2022;2;2;14;9;93;15;FP
S3.28;3;8;215;sp17;S3.28;13.04.2022;3;1;14;11;98;8;FP
S3.76;3;15;212;sp17;S3.76;19.05.2022;3;2;10;30;34;15;FP
S2.256;2;54;208;sp17;S2.256;13.06.2022;2;3;8;21;9;54;FP
S3.44;3;8;203;sp17;S3.44;19.05.2022;3;1;11;33;44;8;FP
S1.298;1;1;199;sp17;S1.298;07.04.2022;1;1;14;8;89;1;FP
S1.400;1;15;194;sp17;S1.400;05.05.2022;1;2;8;22;12;15;FP
S1.312;1;8;194;sp17;S1.312;28.04.2022;1;1;8;19;3;8;FP
S2.211;2;15;193;sp17;S2.211;19.05.2022;2;2;10;28;30;15;FP
S3.8;3;1;191;sp17;S3.8;28.04.2022;3;1;9;26;23;1;FP
S1.392;1;54;180;sp17;S1.392;30.05.2022;1;3;14;8;89;54;FP
S3.72;3;15;176;sp17;S3.72;12.05.2022;3;2;9;23;15;15;FP
S2.200;2;15;168;sp17;S2.200;05.05.2022;2;2;8;22;11;15;FP
S2.193;2;15;165;sp17;S2.193;13.04.2022;2;1;13;5;81;15;FP
S1.293;1;1;165;sp17;S1.293;31.03.2022;1;1;13;2;70;1;FP
S3.75;3;15;163;sp17;S3.75;12.05.2022;3;2;9;24;18;15;FP
